time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.9800000000000013,-0.053095259237,0.107102240663,0.0,1.76223249477,1.04782179831,0.0,0.454578121435,1.49655871924,-17.6682249508,-6.53387056695,12.5196934252,0.0,307.375026931,488.30172636,511.717710256,462.265347729,1,99.0
1.9800000000000013,-0.0129956083594,0.228753350404,0.0,1.55649989759,0.794091021019,0.0,0.684711166084,1.83047667092,-17.4147763597,-7.2151411467,12.3940478058,0.0,310.324219095,501.355485369,526.912234688,451.807956254,2,99.0
1.8600000000000012,0.269659421903,-0.884416710165,0.0,1.17019625389,2.38257332956,0.0,0.682567896217,-0.227783464738,-17.3231674641,-18.078444399,22.788653166,0.0,418.882142782,746.680235935,864.57924174,618.390101861,3,93.0
3.1800000000000024,150.0,-20.8686804505,0.0,0.03396541539,1.50812114071,0.0,1124933.03152,-1502.67844636,-45397.1106628,-0.0344396279731,-1.08591046396,0.0,900.097760956,900.354203033,899.93173891,895.001377668,4,159.0
1.620000000000001,-0.412343972866,6.10350212717,0.0,3.09023532574,0.0881323904301,0.0,-0.824909657241,3.24644165143,-18.1176099832,-28.7877690612,0.5759432416,0.0,893.022684859,900.09796549,899.248747153,2.36113464884,5,81.0
2.1000000000000014,-3.77810752061,8.29042566321,0.0,5.20953525068,1.13184435423,0.0,-7.25053420736,4.85191545448,-16.8352502063,-28.8331437929,3.67836330534,0.0,832.26767484,900.350324059,899.838406213,-0.027742270374,6,105.0
2.1000000000000014,-3.17686044987,5.29422717175,0.0,5.22471906474,5.18113352511,0.0,-2.25578444587,-3.09567450564,-19.2408237356,-28.8131562712,28.8310784164,0.0,-0.206025296245,899.796219353,899.202507202,0.0718938344595,7,105.0
5.0399999999999805,-2.92330010011,-67.6855348775,6.75962038226,2.04547156771,3.57633810433,0.0,-1.07555241795,-22.3944430393,-2.58433537523,-28.8582585043,28.8371491787,0.0,-0.26431487024,899.848866444,900.704023848,-0.0942624311063,8,252.0
5.0399999999999805,-3.09917404923,-61.2676809394,12.920777001,2.0992483529,3.62863057282,0.0,-1.1320495668,-20.5234000823,-0.251016040193,-28.8251616596,28.815029287,0.0,0.448632730594,899.359702969,899.493260755,0.100167021489,9,252.0
5.0399999999999805,-2.91410352077,-63.272248394,11.339365997,2.13309271395,3.56122800053,0.0,-1.10645109991,-21.0928994308,-0.89498752184,-28.8353856753,28.828344876,0.0,-0.60288950436,899.67074637,899.974076926,0.799232330188,10,252.0
5.0399999999999805,-2.98958363051,-65.0117728761,9.57819988774,2.08431846814,3.58436567525,0.0,-1.09758980004,-21.7666924122,-1.73182895488,-28.8348579774,28.8377698446,0.0,-0.0134290200102,900.137775868,900.090611368,-0.451768046069,11,252.0
5.0399999999999805,-3.01628461033,-60.8051338466,13.492823341,2.14307326208,3.60610824451,0.0,-1.13063666628,-20.2464360998,0.0433869797666,-28.8402320825,28.8306921916,0.0,-0.0518429945344,899.665067218,900.1058963,-0.464163753213,12,252.0
5.0399999999999805,-3.04246272598,-64.3183559325,10.167501387,2.04835409734,3.60571732313,0.0,-1.10690593747,-21.6723099927,-1.56572768259,-28.8534623026,28.8226396882,0.0,0.473935222943,899.462881147,900.888044491,-0.324066553169,13,252.0
5.0399999999999805,-2.92983386948,-67.9643216596,6.44303203054,2.0680927909,3.56475376808,0.0,-1.072514746,-22.4893421138,-2.76176606031,-28.8218390538,28.8374089254,0.0,0.961358442523,900.106914327,899.661655778,-0.427732973705,14,252.0
2.2200000000000015,-1.6843072159,-5.53608511792,0.0,1.74752059769,5.40169956769,0.0,8.92209461755,-2.88239148131,-17.9936987802,-28.8250631844,2.87275592334,0.0,899.757762381,900.526219724,899.642781909,13.1490547303,15,111.0
2.0400000000000014,-4.17104371241,8.63014652734,0.0,0.670360446559,6.09862141217,0.0,-5.33661196819,6.60343490332,-15.6864820529,-28.83138706,28.8148862898,0.0,1.30007404026,900.10094093,899.720945724,-0.144826120424,16,102.0
2.1000000000000014,0.800878441527,9.99971993072,0.0,5.23876159853,2.0827781046,0.0,0.194086607389,9.86727433858,-14.7491961867,-28.8209319396,28.8418245674,0.0,0.586977389723,900.302387385,899.554650034,-0.90934088459,17,105.0
2.0400000000000014,-0.789974297753,9.61924838244,0.0,0.32308643974,1.94593915634,0.0,-0.938789217812,10.1318392724,-20.8452704014,-28.8421108179,28.8471936845,0.0,0.663899036748,900.393380262,900.243267864,-0.565139174015,18,102.0
