time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.9000000000000005,-1.4463803289,0.0155315138791,0.0,0.263952337753,4.16491452285,0.0,-3.21328897115,-0.134552295825,-5.07208888921,0.911047439066,8.36017230102,0.0,240.518268168,394.473702577,255.039047432,287.868397418,1,45.0
0.9000000000000005,-1.4522018311,0.0161295153464,0.0,0.271983532622,4.16467756572,0.0,-3.21585035847,-0.137387408316,-5.0896408786,0.943858577225,8.33590871185,0.0,239.866022486,393.555075051,254.378473292,288.213274395,2,45.0
0.9000000000000005,-1.44340661011,0.0151725122963,0.0,0.234711678476,4.13042452577,0.0,-3.25001161862,-0.11639559389,-5.02295718816,0.840031315116,8.3416704665,0.0,241.803076729,395.656856955,257.784249396,289.18860498,3,45.0
0.9000000000000005,-1.43851009264,0.0194517163414,0.0,0.251469355887,4.13674303744,0.0,-3.23310156631,-0.120985822083,-5.01369064217,0.862895246615,8.34914048356,0.0,241.35177752,394.672431223,256.563684798,287.891446225,4,45.0
0.9600000000000005,-1.94373918923,0.0404527281424,0.0,0.101432436631,2.97556050736,0.0,-5.06671625304,-0.0535473491995,-5.34019276245,-8.1449752112,2.20096831312,0.0,437.841316429,360.062567862,482.814922878,261.052778076,5,48.0
0.7200000000000003,-0.78428917155,1.2361208888,0.0,0.060187237896,5.77727376769,0.0,-2.52909110562,4.23568100199,-3.28385074398,-13.4290962459,-10.2490376397,0.0,480.435492087,348.733401218,548.826027295,351.730365625,6,36.0
0.6600000000000003,-1.4544580173,1.16873133457,0.0,2.26279125593,4.09513297974,0.0,-4.89110480678,2.81529839226,-3.03942130026,-20.6233188199,-20.5493854342,0.0,842.096839771,120.694817159,818.998748721,191.06589888,7,33.0
0.48000000000000015,-0.417566398466,-0.238165906997,0.0,3.95108843366,5.93145259927,0.0,-1.25229351864,-2.1550875248,-5.41760842464,-21.8615269027,-24.7702571866,0.0,852.364030151,105.630491277,817.70568109,229.64083021,8,24.0
0.4200000000000001,-0.688402134595,0.0167729826229,0.0,2.02179567373,6.11837052583,0.0,-3.63910736482,0.546128077526,-4.12639611382,-7.95805390088,-17.1015995918,0.0,582.289541665,224.610096103,493.8370772,495.537965102,9,21.0
0.48000000000000015,-0.895952822218,-0.0412199523731,0.0,1.35954689795,3.14066511639,0.0,-4.1726161308,-0.00214370440168,-3.26464025353,-7.21260634226,-20.6962016174,0.0,833.027040656,167.81052932,675.366784072,493.549652614,10,24.0
0.4200000000000001,-0.169880921727,-0.0156113975844,0.0,0.566764251364,2.44355650658,0.0,0.539403572762,-0.439501308955,-4.79736362866,-0.175373423475,-25.4370525291,0.0,829.548247621,161.552400173,407.064008712,520.063601719,11,21.0
0.48000000000000015,-0.485253542205,0.0858772569343,0.0,2.46580403166,2.032610249,0.0,-2.20629265501,0.368602208653,-4.20224201206,18.6313184638,-18.9704507995,0.0,613.94321449,192.571246104,341.622588671,811.677009177,12,24.0
0.48000000000000015,-0.850163079154,0.380296544277,0.0,5.99761309861,0.812223016801,0.0,-2.7322617666,1.09636036317,-4.31287593311,25.9624012532,-11.9422552993,0.0,747.246130164,68.2161229856,315.107680774,890.428814598,13,24.0
0.4200000000000001,-0.769199291817,0.133235567994,0.0,4.96163842372,0.744153077857,0.0,-4.16082680509,0.191203633792,-4.21999373887,26.4077631372,-0.19746094141,0.0,369.595213525,432.007408963,253.985662138,869.849070269,14,21.0
0.4200000000000001,-0.886007464274,0.23819997121,0.0,3.88365441764,1.42547718477,0.0,-4.91979163706,0.852662799852,-4.02044027763,26.7386404578,-2.0463634741,0.0,514.393990036,379.766254757,241.486694936,849.031215944,15,21.0
0.4200000000000001,-0.619293721511,0.000603797866317,0.0,1.81608872576,4.22026529623,0.0,-0.109314506252,-0.235637568984,-4.20270999688,28.351284309,-11.6718949718,0.0,559.032932641,346.357164129,67.7817326772,900.314799212,16,21.0
0.4200000000000001,-0.373342674425,-0.147142021955,0.0,1.69138629497,4.25807180268,0.0,0.140977997968,-0.848577128001,-3.11271201558,28.1880165014,-7.85961975821,0.0,305.034256637,647.595317311,119.17648762,899.79681698,17,21.0
0.36000000000000004,-0.447867683619,0.0335619236726,0.0,4.93315403251,0.687485936608,0.0,-1.43846038295,-0.681253616532,-4.47388432408,25.1588313494,-2.0827487456,0.0,559.125381364,232.587674195,504.130900118,898.996442531,18,18.0
0.36000000000000004,-0.122698031489,0.104663793574,0.0,3.14980089791,3.11464966482,0.0,-0.890915079155,-0.184930574396,-4.30351788566,23.7810282524,4.86319301491,0.0,181.495870782,432.656788805,431.069284121,899.592122879,19,18.0
0.4200000000000001,-0.0318171888967,-0.115754761691,0.0,2.36156421842,2.15744629487,0.0,1.08032944784,0.0965564241528,-4.23357282759,13.1092405189,11.8686214872,0.0,496.483416541,87.8939698387,851.143824979,899.48895579,20,21.0
0.4200000000000001,0.119480878928,-0.176690919977,0.0,6.16953566067,4.14778755595,0.0,-0.258589774979,-0.226990908839,-4.49152839437,12.4427276427,22.8539568019,0.0,5.60931483002,795.136610589,758.686750632,899.565918035,21,21.0
0.36000000000000004,0.14030188621,0.0145284600749,0.0,2.88081120432,6.265957786,0.0,2.60705791371,-0.415612405475,-4.80175558094,8.37425410523,13.7391877388,0.0,45.6482394809,548.221615869,889.759432336,899.637479638,22,18.0
