time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.55349194885e-07,7.10679900997e-07,10.0014148847,0.000597375376922,0.000492855648954,0.0,-4.51748888681e-05,5.66330981111e-05,0.0471615563343,0.0247601422469,0.0209764044115,0.0,419.38079553844244,421.1984251336192,418.23504612460135,420.3855723809328
0.12000000000000001,-1.53980932332e-05,1.87364976517e-05,10.0033985427,0.00174791652228,0.00157275088117,0.0,-0.000547311019857,0.000656461096889,0.0189614447779,0.00463141250904,0.0112548566904,0.0,394.6990399114277,393.80096642685584,394.9543843019024,393.09388574512417
0.18,-8.69450108462e-05,9.91474182545e-05,10.0097205569,0.001724150369,0.00213934696843,0.0,-0.00190790969947,0.00204115156978,0.191758233819,-0.0130601980953,0.00554871515767,0.0,459.66899544079246,459.2165458522938,460.1001971386205,458.6976652712083
0.23999999999999996,-0.000247814968924,0.000256102424758,10.0246844792,0.00173748783663,0.0023273482912,0.0,-0.00348204945356,0.00315913065252,0.307014520216,0.0184919878951,-0.00219776814498,0.0,441.8300506900858,441.1909839762342,440.72316678828355,443.3229254100987
0.3,-0.0005076440583,0.000488451433793,10.0474613376,0.00288160874136,0.00239468474201,0.0,-0.00517608024219,0.0047082523948,0.452166953533,0.020197735827,0.00705014320988,0.0,450.8674767248149,451.61388210676813,450.9315159770889,451.0692122310185
0.36000000000000004,-0.000870443057727,0.000836660863949,10.0780525587,0.00422050535597,0.00242990062485,0.0,-0.006946128448,0.00703187911336,0.567489122747,0.0262442603988,-0.0172688203245,0.0,443.270062840935,441.2673933140283,441.42036942033667,441.9190083852541
0.4200000000000001,-0.00134771251813,0.00138207255947,10.1215135149,0.00520094340836,0.0012888951771,0.0,-0.00881732005887,0.0113509680167,0.881020637144,-0.0278669518321,-0.0227640206206,0.0,500.19829147725574,499.7980931427515,502.89660628529145,498.9623362555898
0.48000000000000015,-0.00189900929245,0.00216551524346,10.1776632464,0.00322551648902,0.000379949478438,0.0,-0.00944484789827,0.0145774779952,0.990549141584,-0.0456787973338,-0.00313179884834,0.0,441.487176757637,443.10390699850603,439.87039059589813,438.39254854230273
0.5400000000000001,-0.00247383133916,0.00310386670361,10.2428930113,0.000425689206563,0.000226858990739,0.0,-0.00969611494021,0.0163797583262,1.18359718392,-0.0487096737889,-0.00141539385396,0.0,466.01940888042935,466.1535900082683,467.00236863464715,466.76474037532586
0.6000000000000002,-0.00306105053367,0.0040839699064,10.3188069725,6.28037536831,0.000652242958475,0.0,-0.00990109915879,0.0159507095237,1.34669006301,-0.0672090892875,0.0202051755012,0.0,456.84401263580827,458.5644513761394,458.7801249213152,457.3071373070878
0.6600000000000003,-0.00367318569224,0.00496767773254,10.4026046865,6.27649134882,0.00180449940164,0.0,-0.0106239244012,0.013103450025,1.4464442313,-0.060195047274,0.017123494504,0.0,439.435614670524,439.18007149445566,437.6618764867419,438.2420455807215
0.7200000000000003,-0.00435912352016,0.00557462243223,10.4960717992,6.27281761423,0.00277269340075,0.0,-0.0123600093524,0.00669282994942,1.66882498326,-0.0633802265884,0.014085914374,0.0,476.1326678564796,475.9001315951512,476.4413952150456,476.19542209375254
0.7800000000000004,-0.0051661944771,0.00573658224839,10.6001736716,6.26877912197,0.00487097684894,0.0,-0.0147172481843,-0.00170895585617,1.80103303822,-0.0766205260427,0.0595286147309,0.0,448.00726519035567,451.68715194983656,450.1372820123081,449.06121841113406
0.8400000000000004,-0.00618279652524,0.00526597974968,10.7147298658,6.26454219637,0.00836865336726,0.0,-0.0195889157292,-0.0144961671751,2.01714020697,-0.0607182837804,0.0557058970192,0.0,474.79732469572724,474.50609762063885,475.53646924862755,476.7494060670302
0.9000000000000005,-0.00756467089066,0.00395277023535,10.8410591001,6.26103298035,0.0118656645412,0.0,-0.0268586236349,-0.029675887423,2.19350082369,-0.0543626602756,0.0629940667822,0.0,465.42531780010086,465.99752788549677,462.81935695803367,463.3170403796555
0.9600000000000005,-0.00947091962594,0.00163948337673,10.978415328,6.25770888299,0.0160720699817,0.0,-0.0371426748689,-0.0478049633735,2.3846458107,-0.0575641100092,0.0814784526416,0.0,467.69964931227213,469.1404067852237,470.7005366012155,470.45084154102767
1.0200000000000005,-0.0120907438676,-0.00182594748431,11.1266978336,6.25431209272,0.0225298866295,0.0,-0.0508460371107,-0.0680855791671,2.55771005177,-0.0547767968592,0.135545235839,0.0,462.59222668542526,466.8383927933977,465.03834666546686,465.2545842403943
1.0800000000000005,-0.0156817881357,-0.00657173727804,11.2849650248,6.2520867243,0.0307315137626,0.0,-0.0697521508338,-0.0903866570877,2.71746369966,-0.0149441280567,0.138894874784,0.0,460.65439762612846,460.93573884552245,461.154015138454,464.2887182072113
1.1400000000000006,-0.0204893534598,-0.0125976052432,11.4496245001,6.25117359696,0.0390578946262,0.0,-0.0912885222497,-0.110556805446,2.77102502664,-0.0157738224826,0.138528455166,0.0,428.98276240117076,428.9702734554692,429.79585696560173,429.7256249365576
1.2000000000000006,-0.0268504878375,-0.0199312561775,11.619975947,6.25025287734,0.0469899351038,0.0,-0.121612330732,-0.133986426618,2.90697682694,-0.0145018544785,0.114915569989,0.0,455.4352421572146,453.5580286552212,456.8633508439496,456.9648632160036
1.2600000000000007,-0.0353142418749,-0.0287699342524,11.8008854701,6.24897654129,0.0537558675324,0.0,-0.161299498002,-0.160737386492,3.12272661443,-0.0404009016746,0.108080267097,0.0,480.6631597402846,480.1551155419194,481.176606689348,479.2119071898535
